short_opening_name,opening_name,winner,opening_eco,num_games,white_rating,black_rating,turns
Ruy Lopez,Ruy Lopez: Classical Variation |  Zukertort Gambit,white,C64,2,1616,1576,37
English Opening,English Opening: Symmetrical Variation |  Fianchetto Variation,white,A36,3,1702,1913,80
Pirc Defense,Pirc Defense: Austrian Attack |  Ljubojevic Variation,black,B09,1,2263,1500,146
Sicilian Defense,Sicilian Defense: Godiva Variation,draw,B32,2,2017,1500,70
Ruy Lopez,Ruy Lopez: Exchange Variation |  King's Bishop Variation,draw,C68,2,1851,1678,54
King's Gambit Accepted,King's Gambit Accepted: Allgaier |  Schlechter Defense,black,C39,1,1910,1714,58
Italian Game,Italian Game: Scotch Gambit |  Double Gambit Accepted,black,C56,1,1603,1353,46
Blackmar-Diemer Gambit,Blackmar-Diemer Gambit: Ryder Gambit,black,D00,2,1190,1548,56
French Defense,French Defense: Bird Invitation,black,C00,2,1418,1370,81
French Defense,French Defense: Advance Variation #2,white,C02,14,1551,1490,64
Sicilian Defense,Sicilian Defense: O'Kelly Variation |  Venice System |  Ljubojevic Line,black,B28,1,1283,1393,40
Sicilian Defense,Sicilian Defense: Dragon Variation |  Yugoslav Attack,black,B78,1,1884,2500,33
Four Knights Game,Four Knights Game: Scotch Variation,white,C47,8,1403,1363,43
Ruy Lopez,Ruy Lopez: Berlin Defense |  Closed Bernstein Variation,white,C66,1,1147,1520,25
Ruy Lopez,Ruy Lopez: Berlin Defense,draw,C65,1,1176,1090,19
Queen's Gambit Accepted,Queen's Gambit Accepted: Central Variation |  McDonnell Defense,white,D20,3,1543,1291,75
French Defense,French Defense: Exchange Variation |  Monte Carlo Variation,black,C01,3,1923,2004,72
Italian Game,Italian Game: Giuoco Piano |  Greco's Attack,white,C54,3,1853,1888,35
King's Indian Defense,King's Indian Defense: Four Pawns Attack |  Dynamic Attack,white,E76,1,2052,1971,51
King's Gambit Accepted,King's Gambit Accepted: Modern Defense #2,black,C36,3,1648,1617,68
Caro-Kann Defense,Caro-Kann Defense: Panov Attack,black,B14,2,2060,1974,93
Caro-Kann Defense,Caro-Kann Defense: Rasa-Studier Gambit,black,B15,1,1673,1992,43
Indian Game,Indian Game: Wade-Tartakower Defense,black,A46,3,1510,1858,62
Italian Game,Italian Game: Evans Gambit Declined |  5.a4,black,C51,1,1651,1974,29
French Defense,French Defense: Exchange Variation |  Monte Carlo Variation,white,C01,5,1908,1954,72
Italian Game,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,black,C54,7,1706,1753,61
Italian Game,Italian Game: Classical Variation |  Center Attack,black,C53,2,1676,1856,70
Polish Opening,Polish Opening: King's Indian Variation,black,A00,3,1712,1798,75
King's Indian Attack,King's Indian Attack: Sicilian Variation,white,A07,1,1762,1833,59
Caro-Kann Defense,Caro-Kann Defense: Panov Attack,draw,B14,1,1666,1701,122
King's Indian Defense,King's Indian Defense: Normal Variation |  King's Knight Variation,black,E60,10,1744,1915,81
Caro-Kann Defense,Caro-Kann Defense,draw,B10,5,1623,1686,114
Ruy Lopez,Ruy Lopez: Berlin Defense |  Improved Steinitz Defense,draw,C66,2,1695,1662,152
Indian Game,Indian Game,draw,A45,12,1784,1694,84
Queen's Pawn Game,Queen's Pawn Game: Chigorin Variation,draw,D00,2,1659,1507,80
King's Indian Attack,King's Indian Attack,black,A07,8,1635,1600,77
Indian Game,Indian Game: London System,black,A46,13,1683,1788,60
Sicilian Defense,Sicilian Defense: Najdorf Variation |  Amsterdam Variation,black,B93,3,1538,1566,48
Gruenfeld Defense,Gruenfeld Defense: Three Knights Variation |  Paris Variation,white,D94,1,1447,1479,71
English Opening,English Opening: Agincourt Defense #3,white,A13,6,1835,1663,55
Petrov,Petrov: Modern Attack,draw,C43,3,1478,1528,61
French Defense,French Defense: Franco-Hiva Gambit II,black,C00,1,1619,1574,96
French Defense,French Defense: Franco-Hiva Gambit I,white,C01,2,1746,1536,84
Scotch Game,Scotch Game: Malaniuk Variation,black,C45,5,1471,1595,45
French Defense,French Defense: Winawer Variation |  Advance Variation,white,C17,2,2083,1964,66
Sicilian Defense,Sicilian Defense: Wing Gambit Deferred,black,B40,1,2073,2195,66
Sicilian Defense,Sicilian Defense: Wing Gambit |  Marshall Variation,black,B20,7,2134,2250,50
Dutch Defense,Dutch Defense: Ilyin-Zhenevsky |  Winter Variation,white,A97,1,2440,2081,42
Scandinavian Defense,Scandinavian Defense: Main Line |  Leonhardt Gambit,black,B01,1,2123,2116,72
Scandinavian Defense,Scandinavian Defense: Main Line |  Leonhardt Gambit,white,B01,2,2141,2058,64
Dutch Defense,Dutch Defense: Rubinstein Variation,white,A84,4,2080,1921,72
Sicilian Defense,Sicilian Defense: Wing Gambit |  Carlsbad Variation,black,B20,2,2232,2302,59
Modern Defense,Modern Defense: Norwegian Defense,black,B06,1,2175,2322,110
French Defense,French Defense: Reti-Spielmann Attack,white,C00,5,1766,1720,65
Scotch Game,Scotch Game: Schmidt Variation,black,C45,14,1509,1552,48
King's Pawn Game,King's Pawn Game: Bavarian Gambit,white,C20,1,1487,1200,51
Nimzo-Indian Defense,Nimzo-Indian Defense: 4.e3 e8g8 |  5.Nf3 |  without ...d5,black,E50,1,1242,1216,56
Kangaroo Defense,Kangaroo Defense: Keres Defense |  Transpositional Variation,white,E00,2,1417,1289,94
Slav Defense #3,Slav Defense #3,white,D10,5,1653,1328,63
Four Knights Game,Four Knights Game: Scotch Variation,draw,C47,1,1141,1138,107
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense #3,black,D07,7,1543,1614,71
Nimzowitsch Defense,Nimzowitsch Defense: Kennedy Variation,white,B00,3,1229,1130,36
Zukertort Opening,Zukertort Opening: Vos Gambit,black,A04,1,1172,1199,98
Sicilian Defense,Sicilian Defense: Smith-Morra Gambit Declined |  Center Formation,black,B21,1,1396,1424,54
King's Gambit |  Falkbeer Countergambit Accepted,King's Gambit |  Falkbeer Countergambit Accepted,black,C31,1,1414,1787,44
King's Pawn Game,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,draw,C20,1,1500,1414,30
Blackmar-Diemer Gambit,Blackmar-Diemer Gambit: Netherlands Variation,white,D00,1,1417,1271,46
French Defense,French Defense: Horwitz Attack,black,C00,2,1694,1675,52
Indian Game,Indian Game: Colle System |  King's Indian Variation,white,A48,1,1923,1967,103
English Opening,English Opening: Anglo-Indian Defense |  Queen's Knight Variation,white,A16,6,1677,1610,91
Queen's Indian Defense,Queen's Indian Defense: Fianchetto Traditional,white,E15,6,2066,1952,68
Gunderam Defense,Gunderam Defense,black,C40,3,1420,1414,79
Queen's Pawn Game,Queen's Pawn Game: Veresov Attack |  Veresov Variation,black,D01,1,1145,1428,32
Nimzowitsch Defense,Nimzowitsch Defense: Scandinavian Variation |  Bogoljubov Variation,black,B00,2,1191,1352,50
Caro-Kann Defense,Caro-Kann Defense: Gurgenidze System,white,B15,1,1426,1178,37
Semi-Slav Defense,Semi-Slav Defense: Normal Variation,white,D45,4,1838,1766,52
Reti Opening,Reti Opening: Advance Variation,black,A09,4,1928,1778,56
English Opening,English Opening: Agincourt Defense #2,draw,A13,1,2029,2047,98
Zukertort Opening,Zukertort Opening: Polish Defense,black,A04,2,1984,1965,44
Sicilian Defense,Sicilian Defense: Four Knights Variation,draw,B45,1,1851,2082,133
Reti Opening,Reti Opening,white,A09,1,1916,1887,75
Semi-Slav Defense,Semi-Slav Defense: Main Line,white,D45,9,1805,1713,60
Sicilian Defense,Sicilian Defense: Paulsen Variation |  Normal Variation,draw,B45,1,1614,1673,99
Italian Game,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,draw,C50,1,1705,1709,114
Slav Defense,Slav Defense: Quiet Variation |  Pin Defense,draw,D12,2,1972,1836,82
Sicilian Defense,Sicilian Defense: Sozin |  not Scheveningen,white,B57,1,1692,1682,81
Alekhine Defense,Alekhine Defense: Scandinavian Variation,draw,B02,3,1387,1500,46
Sicilian Defense,Sicilian Defense: Nimzowitsch Variation |  Closed Variation,white,B29,7,1734,1527,62
Sicilian Defense,Sicilian Defense: Myers Attack,black,B20,1,1517,1346,54
Sicilian Defense,Sicilian Defense: Wing Gambit |  Marshall Variation,white,B20,2,2071,1668,26
Slav Defense #2,Slav Defense #2,draw,D10,5,1555,1534,120
Alekhine Defense,Alekhine Defense: John Tracy Gambit,white,B02,2,1497,1180,36
Benoni Defense,Benoni Defense: Old Benoni,black,A43,1,1309,1317,23
Anderssen Opening,Anderssen Opening,white,A00,17,1670,1487,35
Semi-Slav Defense,Semi-Slav Defense: Main Line,black,D45,6,1684,1826,63
Slav Defense,Slav Defense: Exchange Variation |  Schallopp Variation,black,D12,2,1808,1703,97
Queen's Gambit Declined,Queen's Gambit Declined: Semi-Tarrasch Defense |  Pillsbury Variation,black,D40,2,1720,1571,66
King's Gambit Declined |  Queen's Knight Defense,King's Gambit Declined |  Queen's Knight Defense,white,C30,10,1707,1556,61
Sicilian Defense,Sicilian Defense: Hyperaccelerated Pterodactyl,white,B27,2,2294,1742,57
Vienna Game,Vienna Game: Stanley Variation |  Three Knights Variation,black,C28,1,1016,1016,54
Van Geet Opening,Van Geet Opening: Reversed Nimzowitsch,black,A00,7,1141,1373,41
Alekhine Defense,Alekhine Defense: Normal Variation,white,B02,7,1581,1322,80
Alekhine Defense,Alekhine Defense: The Squirrel,white,B02,3,1678,1054,28
Torre Attack,Torre Attack,black,A48,3,1445,2088,59
Sicilian Defense,Sicilian Defense: Paulsen Variation,white,B44,4,1828,1569,58
Englund Gambit,Englund Gambit,draw,A40,3,1638,1622,82
Sicilian Defense,Sicilian Defense: O'Kelly Variation |  Normal System,white,B28,1,1516,1518,99
French Defense,French Defense: Carlson Gambit,black,C01,1,1503,2041,53
St. George Defense,St. George Defense,white,C00,6,1734,1615,62
Caro-Kann Defense,Caro-Kann Defense: Exchange Variation,draw,B13,7,1828,1729,76
Caro-Kann Defense,Caro-Kann Defense: Karpov Variation,white,B17,5,1981,1544,47
Three Knights Opening,Three Knights Opening: Steinitz Defense,draw,C46,2,1566,1585,107
Ruy Lopez,Ruy Lopez: Schliemann Defense,white,C63,3,1842,1771,61
Caro-Kann Defense,Caro-Kann Defense: Classical |  Spassky Variation,black,B19,3,2157,2102,87
King's Indian Defense,King's Indian Defense: Accelerated Averbakh Variation,black,E70,1,2022,2080,51
Queen's Gambit Accepted,Queen's Gambit Accepted: Rosenthal Variation,black,D21,3,1734,1713,86
Semi-Slav Defense,Semi-Slav Defense: Main Line,draw,D45,1,2214,2187,63
Scandinavian Defense,Scandinavian Defense: Modern Variation |  Gipslis Variation,white,B01,4,2017,1892,81
Caro-Kann Defense,Caro-Kann Defense: Panov Attack |  Gunderam Attack,black,B13,1,2120,2170,90
Torre Attack,Torre Attack,draw,A46,1,2148,2213,99
Torre Attack,Torre Attack,white,A46,2,1869,1972,55
Queen's Gambit Declined,Queen's Gambit Declined: Modern Variation,draw,D50,2,1926,1664,92
Queen's Gambit Accepted,Queen's Gambit Accepted: Central Variation |  Greco Variation,white,D20,5,1474,1663,50
Petrov's Defense #4,Petrov's Defense #4,black,C42,2,1987,1564,29
Trompowsky Attack,Trompowsky Attack: Classical Defense |  Big Center Variation,white,A45,4,1748,1704,67
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense,draw,D07,1,1500,1524,31
Sicilian Defense,Sicilian Defense: Old Sicilian,draw,B30,6,1774,1909,139
Dutch Defense,Dutch Defense,draw,A80,3,1754,1758,89
Queen's Pawn Game,Queen's Pawn Game: Steinitz Countergambit,black,D00,6,1595,1712,62
Queen's Pawn Game,Queen's Pawn Game: Zukertort Variation,draw,D02,7,1729,1809,84
Englund Gambit Complex,Englund Gambit Complex: Englund Gambit,white,A40,5,1975,1805,62
Petrov,Petrov: Modern Attack,black,C43,3,1550,1621,73
French Defense,French Defense: La Bourdonnais Variation |  Reuter Gambit,black,C00,1,1534,1510,24
Tarrasch Defense,Tarrasch Defense: Schara Gambit,white,D32,2,1772,1613,79
Queen's Gambit Declined,Queen's Gambit Declined: Semi-Tarrasch Defense,white,D40,1,1630,1525,53
Italian Game,Italian Game: Two Knights Defense |  Lolli Attack,black,C57,1,1388,1390,80
King's Indian Attack,King's Indian Attack: Keres Variation #2,black,A07,1,1312,1478,62
Nimzowitsch Defense,Nimzowitsch Defense: Scandinavian Variation |  Exchange Variation,black,B00,2,1726,1648,70
Nimzo-Indian Defense,Nimzo-Indian Defense: Normal Line,white,E40,3,2085,1857,67
Scotch Game,Scotch Game: Potter Variation,black,C45,2,1832,1900,34
Zukertort Opening,Zukertort Opening: Arctic Defense,white,A04,2,1674,1500,28
Alekhine Defense,Alekhine Defense: Steiner Variation,black,B02,1,1501,1640,122
Tarrasch Defense,Tarrasch Defense: Classical Variation |  Advance Variation,black,D34,1,2136,2353,48
King's Indian Defense,King's Indian Defense: Fianchetto Variation |  Yugoslav System |  without Nc3,black,E64,1,2145,2588,122
Vienna Game,Vienna Game: Mieses Variation,draw,C26,1,1383,1428,114
French Defense,French Defense: Winawer Variation |  Advance Variation #3,white,C17,2,1926,1815,48
French Defense,French Defense: Horwitz Attack,white,C00,2,1880,1934,68
Polish Opening,Polish Opening: Czech Defense,white,A00,3,1768,1610,80
Queen's Gambit Accepted,Queen's Gambit Accepted: Gunsberg Defense |  Prianishenmo Gambit,white,D24,1,1696,1824,24
Slav Defense,Slav Defense: Quiet Variation |  Schallopp Defense,white,D12,4,1850,1635,58
King's Indian Defense,King's Indian Defense: Semi-Classical Variation |  Benoni Variation,black,E61,1,1848,1773,58
Semi-Slav Defense,Semi-Slav Defense: Normal Variation,black,D45,3,1724,1862,57
French Defense,French Defense: Reti-Spielmann Attack,black,C00,4,1951,2035,62
French Defense,French Defense: Winawer Variation |  Alekhine-Maroczy Gambit,white,C15,1,1955,1850,20
Polish Opening,Polish Opening: Schiffler-Sokolsky Variation,black,A00,1,1820,1842,38
Semi-Slav Defense,Semi-Slav Defense: Quiet Variation,black,D30,1,1868,2220,44
French Defense,French Defense: Winawer Variation |  Delayed Exchange Variation,black,C01,4,1816,1758,52
Old Indian Defense,Old Indian Defense: Ukrainian Variation,white,A54,2,1666,1464,66
Danish Gambit,Danish Gambit,black,C21,14,1548,1639,77
Scandinavian Defense,Scandinavian Defense: Main Line |  Mieses Variation,draw,B01,1,1647,1647,73
Slav Defense,Slav Defense: Alekhine Variation,black,D15,1,1677,1635,120
Philidor Defense,Philidor Defense: Nimzowitsch Variation |  Klein Variation,black,C41,1,1651,1650,70
Slav Defense,Slav Defense: Quiet Variation |  Schallopp Defense,black,D12,5,1468,1924,49
English Opening,English Opening: Symmetrical Variation |  Full Symmetry Line,black,A38,1,1673,1729,90
Sicilian Defense,Sicilian Defense: Sozin |  not Scheveningen,draw,B57,1,1745,1707,100
Slav Defense,Slav Defense: Czech Variation,black,D17,1,1788,1757,42
Ruy Lopez,Ruy Lopez: Morphy Defense |  Modern Steinitz Defense,black,C72,3,1873,1992,78
King's Gambit |  Falkbeer Countergambit |  Nimzowitsch-Marshall Countergambit,King's Gambit |  Falkbeer Countergambit |  Nimzowitsch-Marshall Countergambit,black,C31,1,2108,2270,16
Gedult's Opening,Gedult's Opening,white,A00,8,1644,1534,54
Ruy Lopez,Ruy Lopez: Exchange Variation |  Normal Variation,draw,C69,1,1962,2270,107
Scotch Game,Scotch Game: Horwitz Attack,white,C45,1,2185,1916,25
King's Pawn Game,King's Pawn Game: Beyer Gambit,draw,C21,1,1500,1370,65
Englund Gambit Declined |  Reversed Alekhine,Englund Gambit Declined |  Reversed Alekhine,white,A40,3,1411,1379,52
Italian Game,Italian Game: Schilling-Kostic Gambit,draw,C50,3,1471,1548,41
Nimzowitsch Defense,Nimzowitsch Defense: Scandinavian Variation |  Exchange Variation,white,B00,7,1647,1659,59
Three Knights Opening,Three Knights Opening: Winawer Defense,white,C46,2,1454,1456,32
Bird Opening,Bird Opening: From's Gambit,white,A02,3,1754,1411,65
Queen's Pawn Opening,Queen's Pawn Opening: Veresov |  Richter Attack,white,D00,7,1404,1446,57
Russian Game,Russian Game: Cozio (Lasker) Attack,white,C42,4,1669,1555,79
Indian Game,Indian Game: Tartakower Attack,white,A45,4,1583,1518,70
King's Pawn Game,King's Pawn Game: Damiano Defense,draw,C40,4,1268,1268,130
Portuguese Opening,Portuguese Opening: Portuguese Gambit,black,C20,1,1392,1501,56
Latvian Gambit,Latvian Gambit,white,C40,4,1590,1250,31
Danish Gambit Accepted |  Classical Defense,Danish Gambit Accepted |  Classical Defense,black,C21,2,1384,1455,56
Indian Game,Indian Game: Przepiorka Variation,white,A49,5,2067,1766,58
Queen's Gambit Declined,Queen's Gambit Declined: Orthodox Defense |  Botvinnik Variation,black,D60,2,1870,1974,52
Slav Defense,Slav Defense: Modern Line,white,D11,11,1720,1586,64
Nimzowitsch Defense,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,black,B00,1,1894,1938,39
Sicilian Defense,Sicilian Defense: Accelerated Dragon |  Exchange Variation,white,B34,4,1980,1718,65
Elephant Gambit,Elephant Gambit: Maroczy Gambit,black,C40,2,1479,1464,59
Van Geet Opening,Van Geet Opening: Dunst-Perrenet Gambit,white,A00,2,1493,1710,60
Sicilian Defense,Sicilian Defense: Accelerated Dragon,black,B36,8,1720,1787,88
Ruy Lopez,Ruy Lopez: Exchange Variation |  Keres Variation,black,C68,3,1521,1653,121
King's Gambit Accepted |  Kieseritzky Gambit |  Berlin Defense,King's Gambit Accepted |  Kieseritzky Gambit |  Berlin Defense,white,C39,1,1807,1689,105
Zukertort Opening,Zukertort Opening: Ross Gambit,black,A04,2,1314,1346,58
Englund Gambit Complex Declined,Englund Gambit Complex Declined,white,A40,2,1610,1647,58
French Defense #2,French Defense #2,draw,C00,5,1219,1096,61
Queen's Gambit Declined,Queen's Gambit Declined: Harrwitz Attack |  Orthodox Defense,white,D37,1,1500,1500,47
Ruy Lopez,Ruy Lopez: Open Variations |  Classical Defense,white,C83,1,1500,1500,45
Reti Opening,Reti Opening,white,A04,2,1864,1500,36
Italian Game,Italian Game: Evans Gambit |  Anderssen Variation,white,C51,1,2272,1500,41
Queen's Pawn Game,Queen's Pawn Game: Veresov Attack |  Anti-Veresov,black,D00,1,1263,1664,78
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense |  Modern Gambit,black,D06,5,1519,1509,48
Bishop's Opening,Bishop's Opening: Vienna Hybrid |  Spielmann Attack,white,C26,3,1768,1625,46
Nimzo-Larsen Attack,Nimzo-Larsen Attack,draw,A01,3,1640,1367,31
Bogo-Indian Defense,Bogo-Indian Defense: Exchange Variation,draw,E11,1,1635,1723,89
Italian Game,Italian Game: Bird's Attack,white,C53,3,1633,1666,97
Danish Gambit,Danish Gambit,draw,C21,2,1746,1707,72
Italian Game,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,white,C54,6,1682,1677,74
Nimzo-Indian Defense,Nimzo-Indian Defense: Classical Variation |  Zurich Variation,white,E33,1,1690,1701,66
Ruy Lopez,Ruy Lopez: Classical Variation,draw,C64,3,1459,1515,82
Caro-Kann Defense,Caro-Kann Defense: Euwe Attack,black,B10,3,1615,1690,82
Caro-Kann Defense,Caro-Kann Defense,black,B11,7,1486,1574,91
Polish Opening,Polish Opening: Grigorian Variation,draw,A00,1,1742,1372,111
Queen's Gambit Accepted,Queen's Gambit Accepted: Saduleto Variation,draw,D20,4,1388,1442,84
Semi-Slav Defense,Semi-Slav Defense: Anti-Moscow Gambit,white,D44,1,1643,1611,47
King's Pawn Game,King's Pawn Game: Maroczy Defense,draw,B07,3,1438,1628,125
Colle System #2,Colle System #2,white,D05,3,1419,1420,62
Sicilian Defense,Sicilian Defense: Modern Variations |  Anti-Qxd4 Move Order,black,B50,7,1637,2308,56
Italian Game,Italian Game: Evans Gambit |  McDonnell Defense,white,C51,4,1687,1547,52
Sicilian Defense,Sicilian Defense: Smith-Morra Gambit Accepted |  Pin Defense,black,B21,2,2007,2062,51
Sicilian Defense,Sicilian Defense: Dragon Variation |  Classical Variation #2,black,B72,3,1986,1952,69
Semi-Slav Defense,Semi-Slav Defense,black,D43,14,1735,1875,58
Queen's Gambit Declined,Queen's Gambit Declined: Three Knights Variation,black,D37,6,1688,1808,69
Blumenfeld Countergambit Accepted,Blumenfeld Countergambit Accepted,black,E10,1,2493,1914,54
Ruy Lopez,Ruy Lopez: Classical Variation |  Modern Main Line,black,C64,1,1885,2107,168
Pirc Defense,Pirc Defense: Classical Variation |  Quiet System |  Czech Defense,white,B08,1,1803,1934,55
French Defense,French Defense: Winawer Variation |  Delayed Exchange Variation,white,C01,4,1768,1722,56
Alekhine Defense,Alekhine Defense: Krejcik Variation,black,B02,1,1603,1429,68
Alekhine Defense,Alekhine Defense,draw,B02,2,1489,1541,62
Caro-Kann Defense,Caro-Kann Defense: Masi Variation,black,B10,1,1776,1383,82
Grob Opening,Grob Opening,draw,A00,2,1127,1364,78
Sicilian Defense,Sicilian Defense: Hyperaccelerated Fianchetto,white,A42,6,1574,1654,49
Italian Game,Italian Game: Evans Gambit Declined,white,C51,3,1800,1585,69
Sicilian Defense,Sicilian Defense: Classical Variation,black,B56,12,1686,2016,70
French Defense,French Defense: Advance Variation |  Milner-Barry Gambit,black,C02,7,1741,1710,48
Sicilian Defense,Sicilian Defense: Dragon Variation |  Yugoslav Attack,white,B76,1,1841,1916,61
Benoni Defense,Benoni Defense: Hromadka System,white,A57,1,1808,1916,53
Indian Game,Indian Game: West Indian Defense,black,E61,11,1597,1668,68
King's Gambit Accepted |  Cunningham Defense,King's Gambit Accepted |  Cunningham Defense,black,C35,2,1728,1832,25
King's Indian Defense,King's Indian Defense: Normal Variation |  King's Knight Variation,draw,E60,2,1545,1611,86
Italian Game,Italian Game: Two Knights Defense |  Polerio Defense,white,C57,6,1517,1504,45
King's Knight Opening,King's Knight Opening: Normal Variation,draw,C44,3,1412,1392,80
Italian Game,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,draw,C54,2,1643,1608,127
Russian Game,Russian Game: Cozio (Lasker) Attack,black,C42,7,1732,1796,90
Italian Game,Italian Game: Two Knights Defense |  Traxler Counterattack |  Knight Sacrifice Line,black,C57,5,1510,1616,37
Duras Gambit,Duras Gambit,white,B00,6,1505,1492,58
Caro-Kann Defense,Caro-Kann Defense: Massachusetts Defense,white,B10,1,1718,1608,57
Benoni Defense,Benoni Defense: Benoni Gambit |  Schlenker Defense,black,A43,1,1693,1591,73
St. George Defense,St. George Defense: Zilbermints Gambit,black,B00,1,1531,1569,38
Sicilian Defense,Sicilian Defense: Double-Dutch Gambit,black,B28,1,1517,1519,30
French Defense,French Defense: Franco-Hiva Gambit I Accepted,black,C01,1,1589,1445,44
Queen's Gambit Refused,Queen's Gambit Refused: Austrian Attack |  Salvio Countergambit,black,D06,1,1621,1403,34
Caro-Kann Defense,Caro-Kann Defense: Ulysses Gambit,black,B12,2,1603,1600,51
English Opening,English Opening: King's English Variation |  Nimzowitsch Variation,black,A20,3,1526,1702,85
Rat Defense,Rat Defense: Harmonist,black,B07,3,1595,1620,62
Bird Opening,Bird Opening: Dutch Variation,draw,A03,8,1734,1803,91
French Defense,French Defense: Steiner Variation,black,C00,4,1796,1803,41
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense |  Exchange Variation,black,D07,3,1793,1610,77
Lemming Defense,Lemming Defense,white,B00,3,1590,1320,49
King's Indian Defense,King's Indian Defense: Normal Variation |  King's Knight Variation,white,E60,6,1629,1652,75
King's Gambit Accepted |  Becker Defense,King's Gambit Accepted |  Becker Defense,white,C34,1,1670,1577,9
Center Game,Center Game: Lanc-Arnold Gambit |  Schippler Gambit,black,C21,1,1535,1579,66
Rat Defense,Rat Defense: Harmonist,draw,B07,2,1438,1572,128
Scotch Game,Scotch Game,draw,C44,2,1514,1483,76
French Defense,French Defense: Advance Variation,draw,C02,1,1518,1875,8
Scotch Game,Scotch Game: Modern Defense,draw,C45,1,1518,1500,10
Sicilian Defense,Sicilian Defense: Paulsen Variation |  Szen Variation,white,B44,3,1786,1835,87
Scotch Game,Scotch Game: Lolli Variation,white,C44,8,1609,1582,62
Petrov,Petrov: Modern Attack,white,C43,3,1697,1484,48
Vienna Game,Vienna Game: Max Lange Defense,white,C25,3,1552,1620,100
Italian Game,Italian Game: Evans Gambit Declined,black,C51,4,1614,1623,45
King's Gambit Declined |  Norwalde Variation,King's Gambit Declined |  Norwalde Variation,white,C30,3,1551,1487,43
Slav Defense,Slav Defense: Exchange Variation |  Symmetrical Line,white,D14,1,1508,2203,41
Sicilian Defense,Sicilian Defense: Scheveningen Variation,black,B80,4,1746,1736,61
Queen's Gambit Declined,Queen's Gambit Declined: Exchange Variation,white,D35,8,1625,1568,57
Bishop's Opening,Bishop's Opening: Vienna Hybrid,white,C28,3,1674,1532,53
King's Pawn Game,King's Pawn Game: King's Head Opening,black,C20,4,1381,1355,90
Queen's Gambit Declined,Queen's Gambit Declined: Semi-Tarrasch Defense |  Pillsbury Variation,white,D40,1,1859,1731,53
French Defense,French Defense: Advance Variation |  Nimzowitsch Attack,black,C02,1,1856,1718,57
French Defense,French Defense: Advance Variation #4,draw,C02,1,1859,1701,53
English Opening,English Opening: Anglo-Indian Defense |  Anglo-Gruenfeld Variation #3,white,A16,2,1931,1940,56
French Defense,French Defense: Advance Variation |  Main Line,draw,C02,2,1812,1788,84
French Defense,French Defense: Tarrasch Variation |  Open System,white,C07,2,1864,1751,56
King's Gambit Accepted |  MacLeod Defense,King's Gambit Accepted |  MacLeod Defense,black,C34,7,1548,1495,50
Queen's Gambit Accepted,Queen's Gambit Accepted: Gunsberg Defense,black,D21,1,1426,1159,18
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense |  Main Line,draw,D07,2,1654,1650,64
French Defense,French Defense: Classical Variation |  Alapin Variation,white,C14,2,2074,2023,48
Four Knights Game,Four Knights Game: Spanish Variation,draw,C48,1,1776,1949,57
Italian Game,Italian Game: Classical Variation |  Giuoco Pianissimo,draw,C53,2,2174,2098,80
Italian Game,Italian Game: Two Knights Defense |  Steinitz Variation,black,C59,1,1883,1817,64
Ruy Lopez,Ruy Lopez: Exchange Variation |  Bronstein Variation,draw,C69,1,1707,1881,113
Englund Gambit Declined |  Reversed Alekhine,Englund Gambit Declined |  Reversed Alekhine,black,A40,2,1336,1136,75
Hippopotamus Defense #2,Hippopotamus Defense #2,black,B00,1,1047,1492,27
Trompowsky Attack,Trompowsky Attack: Classical Defense,black,A45,1,1335,1329,50
Blackmar-Diemer Gambit,Blackmar-Diemer Gambit: von Popiel Gambit,white,D00,2,1889,1634,41
Barnes Defense,Barnes Defense,black,B00,4,1558,1499,64
French Defense,French Defense: Baeuerle Gambit,black,C01,1,1307,1187,60
Borg Defense,Borg Defense,white,B00,5,1396,1267,51
French Defense,French Defense: Classical Variation |  Steinitz Variation,black,C11,8,1646,1754,58
Queen's Pawn Game,Queen's Pawn Game: Veresov Attack |  Classical Defense,white,D01,2,1343,1559,58
Richter-Veresov Attack #2,Richter-Veresov Attack #2,white,D01,2,1654,1675,89
Indian Game,Indian Game: London System,white,A46,6,1839,1669,53
Giuoco Piano,Giuoco Piano,draw,C50,6,1565,1542,95
Indian Game,Indian Game: Spielmann-Indian,black,A46,3,2089,2153,75
Four Knights Game,Four Knights Game: Ranken Variation,white,C48,5,1536,1471,54
King's Gambit Accepted |  Modern Defense,King's Gambit Accepted |  Modern Defense,white,C36,3,1727,1671,39
Neo-Gruenfeld Defense,Neo-Gruenfeld Defense: Non- or Delayed Fianchetto,white,D70,1,2055,2441,98
Benoni Defense,Benoni Defense: Old Benoni,white,A43,2,1536,1507,82
Philidor Defense #4,Philidor Defense #4,draw,C41,2,1702,1678,106
